device,r_s,rkb_s,rrqm_s,pct_rrqm,r_await,rareq_sz,w_s,wkb_s,wrqm_s,pct_wrqm,w_await,wareq_sz,d_s,dkb_s,drqm_s,pct_drqm,d_await,dareq_sz,f_s,f_await,aqu_sz,pct_util,sample_timestamp
sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:43+00:00
sdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:43+00:00
sdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:43+00:00
sdd,0.0,0.0,0.0,0.0,0.0,0.0,34.0,136.0,0.0,0.0,0.74,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.6,2026-03-20T11:26:43+00:00
sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:44+00:00
sdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:44+00:00
sdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:44+00:00
sdd,0.0,0.0,0.0,0.0,0.0,0.0,32.0,140.0,3.0,8.57,0.94,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.2,2026-03-20T11:26:44+00:00
sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:45+00:00
sdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:45+00:00
sdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:45+00:00
sdd,0.0,0.0,0.0,0.0,0.0,0.0,30.0,120.0,0.0,0.0,0.87,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.0,2026-03-20T11:26:45+00:00
