session_mode,batch_run,metric,best_rep_label
per_request,1,total_mean,single-r
per_request,1,total_p95,single-r
per_request,1,request_window_sec,multi-5x4w-500-r
per_request,1,goodput_rps,multi-5x4w-500-r
per_request,2,total_mean,single-r
per_request,2,total_p95,single-r
per_request,2,request_window_sec,multi-5x4w-500-r
per_request,2,goodput_rps,multi-5x4w-500-r
per_request,3,total_mean,single-r
per_request,3,total_p95,single-r
per_request,3,request_window_sec,multi-5x4w-500-r
per_request,3,goodput_rps,multi-5x4w-500-r
per_request,4,total_mean,single-r
per_request,4,total_p95,single-r
per_request,4,request_window_sec,single-inst-r
per_request,4,goodput_rps,single-inst-r
per_worker,1,total_mean,single-w
per_worker,1,total_p95,single-w
per_worker,1,request_window_sec,multi-5x4w-300-w
per_worker,1,goodput_rps,multi-5x4w-300-w
per_worker,2,total_mean,single-w
per_worker,2,total_p95,single-w
per_worker,2,request_window_sec,multi-5x2ix2w-500-w
per_worker,2,goodput_rps,multi-5x2ix2w-500-w
per_worker,3,total_mean,single-w
per_worker,3,total_p95,single-w
per_worker,3,request_window_sec,multi-5x4w-300-w
per_worker,3,goodput_rps,multi-5x4w-300-w
per_worker,4,total_mean,single-w
per_worker,4,total_p95,multi-5x4w-300-w
per_worker,4,request_window_sec,single-inst-w
per_worker,4,goodput_rps,single-inst-w
