,vps-docker-single-task-00-500-full,vps-docker-multi-task-00-500-10x50
fs_worker_exec,0.05280499007156176,0.05864890550293979
fs_callback,,0.0003390110144678601
event_loop_poll,6.66244960148734,6.391148648419587
microtask,78.81386791051754,78.77870152001239
futex_sync,,
worker_message,0.0017601663357187255,0.00101703304340358
json_parse,,
libuv_worker_other,0.6507114922360163,0.6489800853629735
gateway_main_other,9.605667735601015,9.774365569137341
v8_worker,3.7297924653879795,3.8334235479310723
other,0.4829456383628253,0.5133756795758294
