,vps-docker-single-task-00-500-full,vps-docker-multi-task-00-500-full
fs_worker_exec,0.05280499007156176,0.0628579098067287
fs_callback,,0.0007829277022190408
event_loop_poll,6.66244960148734,6.1806549749463136
microtask,78.81386791051754,78.98286506800287
futex_sync,,
worker_message,0.0017601663357187255,0.0006710808876163207
json_parse,,
libuv_worker_other,0.6507114922360163,0.6721993557623479
gateway_main_other,9.605667735601015,9.980426807444525
v8_worker,3.7297924653879795,3.5995660343593414
other,0.4829456383628253,0.5199758410880457
